car,price,body,mileage,engV,engType,registration,year,model,drive
Ford,12099,sedan,109,1.6,Gas,yes,2011,Focus,front
Volkswagen,19000,sedan,109,1.8,Petrol,yes,2012,Passat B7,front
Ford,14900,crossover,109,2,Diesel,yes,2010,Kuga,full
Opel,9900,sedan,109,2.2,Gas,yes,2009,Vectra C,front
Mercedes-Benz,32800,crossover,109,3,Diesel,yes,2011,ML 350,full
VAZ,3900,hatch,109,1.6,Petrol,yes,2008,2172,front
Mitsubishi,20500,crossover,109,3.2,Diesel,yes,2009,Pajero Wagon,full
VAZ,3400,sedan,109,1.6,Petrol,yes,2008,2115,front
Toyota,10700,sedan,109,1.8,Petrol,yes,2007,Avensis,front
Subaru,8650,hatch,109,1.5,Petrol,yes,2008,Impreza,full
Skoda,12300,sedan,109,1.9,Diesel,yes,2009,Octavia A5,front
Skoda,7750,vagon,109,2,Petrol,yes,2001,Octavia Tour,front
Seat,7100,hatch,109,2,Petrol,yes,2008,Ibiza,front
Chevrolet,11000,other,109,3.2,Petrol,yes,2007,Captiva,full
Mercedes-Benz,33000,crossover,109,2.2,Diesel,yes,2012,GLK 220,full
Lexus,15200,sedan,109,3,Petrol,yes,2007,IS 300,rear
Toyota,6900,hatch,109,1.3,Gas,yes,2007,Yaris,front
Nissan,21999,crossover,109,3,Diesel,yes,2005,Patrol,full
Hyundai,5950,sedan,109,1.4,Petrol,yes,2008,Accent,front
VAZ,1900,sedan,109,1.5,Petrol,yes,2004,2107,rear
Skoda,13450,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,13800,sedan,109,1.9,Diesel,yes,2012,Octavia A5,front
Mitsubishi,9200,crossover,110,2.4,Petrol,yes,2006,Outlander,full
Smart,6500,other,110,1,Petrol,yes,2007,Fortwo,rear
Chevrolet,8800,sedan,110,1.6,Gas,yes,2013,Lacetti,full
Subaru,14300,crossover,110,2.5,Petrol,yes,2008,Forester,full
Subaru,13000,crossover,110,3,Petrol,yes,2006,Tribeca,full
Hyundai,21900,sedan,110,3,Petrol,yes,2012,Grandeur,front
BMW,45000,sedan,110,1.8,Other,yes,2012,535,full
Hyundai,13300,crossover,110,2.2,Diesel,yes,2008,Santa FE,full
Mitsubishi,12700,crossover,110,2.4,Gas,yes,2008,Outlander XL,full
BMW,60500,sedan,110,3,Diesel,yes,2011,740,full
Skoda,11300,sedan,110,1.6,Petrol,yes,2011,Octavia A5,front
Volkswagen,10999,van,110,1.6,Diesel,yes,2012,Caddy ����.,front
Porsche,18300,crossover,110,4.5,Gas,yes,2006,Cayenne,full
Chery,2600,hatch,110,1.8,Petrol,yes,2008,QQ,front
Peugeot,11000,crossover,110,1.6,Gas,yes,2013,3008,front
SsangYong,12700,crossover,110,2.7,Diesel,yes,2008,Rexton II,full
Opel,1820,sedan,110,1.6,Gas,yes,1988,Ascona,front
Porsche,13222,crossover,110,4.5,Gas,yes,2005,Cayenne,full
Skoda,12400,sedan,110,1.8,Petrol,yes,2012,Octavia A5,front
BMW,9500,crossover,110,3,Diesel,no,2008,X6,
Hummer,39500,other,110,6,Gas,yes,2007,H2,full
Volkswagen,13000,van,110,1.9,Diesel,yes,2009,T5 (Transporter) ����.,front
Toyota,12500,sedan,110,2.4,Gas,yes,2007,Camry,front
Audi,2600,vagon,110,2.5,Diesel,no,2002,A6,front
BMW,30500,hatch,110,4.4,Petrol,yes,2008,X6,full
Toyota,14900,sedan,110,3.5,Petrol,yes,2008,Camry,front
Daewoo,4700,sedan,110,1.5,Gas,yes,2007,Lanos,front
Volkswagen,9850,sedan,110,2,Petrol,yes,2006,Passat B6,front
Skoda,11100,sedan,110,1.6,Petrol,yes,2010,Octavia A5,front
GAZ,2778.75,sedan,110,2.5,Petrol,yes,2004,31105,rear
Renault,6750,other,110,1.5,Diesel,yes,2012,Kangoo ����.,front
Renault,7000,sedan,110,1.4,Petrol,yes,2012,Symbol,front
Chevrolet,5250,sedan,110,1.5,Petrol,no,2006,Aveo,front
Opel,1750,hatch,110,1.2,Petrol,no,1998,Corsa,front
Hyundai,5800,sedan,110,1.8,Other,yes,2007,Accent,
Mercedes-Benz,11900,sedan,110,2.57,Petrol,yes,2004,C-Class,full
Honda,9700,hatch,110,1.8,Petrol,yes,2007,Civic,front
Mitsubishi,8500,sedan,110,2,Petrol,yes,2008,Lancer X,front
Volkswagen,10300,hatch,110,1.9,Diesel,yes,2008,Caddy ����.,front
Toyota,21900,crossover,110,4,Gas,yes,2006,FJ Cruiser,
BMW,34900,crossover,110,4.4,Petrol,yes,2010,X6,full
Volkswagen,17650,sedan,110,1.8,Petrol,yes,2012,Passat B7,front
Chery,5800,sedan,110,1.5,Gas,yes,2013,Amulet,front
Lexus,32500,sedan,110,4.6,Petrol,yes,2010,LS 460,full
Mercedes-Benz,22000,sedan,110,1.8,Petrol,yes,2011,C-Class,rear
Dodge,7300,sedan,110,2,Petrol,yes,2008,Avenger,front
Toyota,11500,sedan,110,1.6,Petrol,yes,2011,Corolla,front
Ford,3100,hatch,110,7,Diesel,yes,1994,Escort,front
Honda,19500,sedan,110,2,Petrol,yes,2011,Accord,front
VAZ,2800,sedan,110,1.5,Gas,yes,2005,21099,front
Mazda,12750,sedan,110,1.8,Petrol,yes,2010,6,front
VAZ,3450,sedan,110,1.6,Petrol,yes,2008,21099,front
Hyundai,5100,hatch,110,1.4,Other,yes,2005,Getz,front
Infiniti,15900,crossover,110,3.5,Gas,yes,2004,FX 35,full
BMW,3700,other,110,2.5,Petrol,yes,1983,323,rear
Chery,7500,crossover,110,1.8,Gas,yes,2011,Tiggo,front
VAZ,4500,sedan,110,1.6,Petrol,yes,2009,2170,front
Mitsubishi,9000,sedan,110,2,Petrol,yes,2008,Lancer X,front
Audi,30500,sedan,110,3,Petrol,yes,2011,A6,full
Daewoo,3450,sedan,110,1.5,Gas,yes,2007,Lanos,front
Volkswagen,15700,sedan,110,1.8,Petrol,yes,2011,Passat B7,front
Nissan,10200,crossover,110,2,Petrol,yes,2008,Qashqai,front
Daewoo,3800,sedan,110,1.5,Gas,yes,2005,Lanos,front
Opel,8900,sedan,110,2.2,Petrol,yes,2008,Vectra C,front
Nissan,6600,sedan,110,1.6,Petrol,yes,2007,Almera,front
Honda,17000,crossover,110,2,Petrol,yes,2007,CR-V,full
Daewoo,3500,sedan,110,1.5,Petrol,yes,2007,Lanos,front
Skoda,8400,sedan,110,1.6,Petrol,yes,2008,Octavia Tour,front
Mercedes-Benz,42500,sedan,110,3,Diesel,yes,2011,S 350,full
Mazda,11999,crossover,110,2.3,Petrol,yes,2008,CX-7,full
Citroen,9100,van,110,2,Diesel,yes,2013,Jumpy ����.,
Hyundai,5500,hatch,110,1.4,Petrol,yes,2007,Getz,front
Subaru,11900,crossover,110,2,Petrol,yes,2008,Forester,full
BMW,37500,crossover,110,4.4,Petrol,yes,2011,X6,full
Opel,10600,vagon,110,1.3,Diesel,yes,2013,Astra J,front
VAZ,850,sedan,110,1.3,Petrol,yes,1985,2106,rear
Volkswagen,18000,sedan,110,2,Diesel,yes,2013,Passat B7,front
Kia,11500,other,110,2,Petrol,yes,2012,Koup,front
Chevrolet,7000,sedan,110,1.8,Petrol,yes,2008,Lacetti,front
Nissan,7900,sedan,110,1.6,Petrol,yes,2008,TIIDA,front
Lexus,17700,sedan,110,3.5,Petrol,yes,2008,ES 350,front
Fiat,7300,van,110,1.9,Diesel,yes,2008,Doblo ����.,front
Volkswagen,15700,sedan,110,1.8,Petrol,yes,2011,Passat B7,front
Chevrolet,5900,hatch,110,1.6,Gas,yes,2008,Lacetti,front
Mitsubishi,13300,crossover,110,2.4,Gas,yes,2008,Outlander XL,full
Honda,12990,sedan,111,1.8,Petrol,yes,2011,Civic,front
Mitsubishi,12999,crossover,111,3,Gas,yes,2008,Outlander XL,full
Renault,13900,crossover,111,2.5,Gas,yes,2010,Koleos,full
Honda,13500,sedan,111,2.4,Gas,yes,2009,Accord,front
Mercedes-Benz,3900,sedan,111,2.5,Diesel,yes,1989,E-Class,rear
Daewoo,3699,hatch,111,0.8,Petrol,yes,2007,Matiz,front
Volkswagen,20350,vagon,111,2,Diesel,yes,2012,Passat B7,front
Volkswagen,2500,hatch,111,1.6,Gas,yes,1999,Golf IV,
Opel,11900,van,111,2,Diesel,yes,2013,Vivaro ����.,front
Opel,2100,vagon,111,1.4,Gas,yes,1988,Kadett,front
Ford,1350,vagon,111,2,Other,yes,1989,Sierra,rear
Land Rover,14900,crossover,111,2.2,Diesel,yes,2007,Freelander,full
Nissan,18500,crossover,111,1.8,Diesel,yes,2005,Patrol,full
ZAZ,815.1,vagon,111,1.2,Gas,yes,2003,1102 ������,front
Mitsubishi,17800,crossover,111,2.4,Petrol,yes,2011,Outlander XL,full
Mercedes-Benz,2500,sedan,111,2.3,Gas,yes,1992,E-Class,
Daewoo,3550,sedan,111,1.5,Petrol,yes,2007,Lanos,front
Chery,3000,other,111,1.3,Gas,yes,2007,Jaggi,front
VAZ,4600,vagon,111,1.6,Gas,yes,2012,2171,front
Citroen,13650,hatch,111,1.6,Gas,yes,2012,C4,front
Chrysler,2700,van,111,2.5,Diesel,no,2003,Grand Voyager,front
Skoda,2400,hatch,111,1.3,Petrol,yes,1996,Felicia,front
Honda,16300,crossover,111,2.4,Petrol,yes,2008,CR-V,full
BMW,4800,sedan,111,2.5,Gas,yes,1991,525,rear
VAZ,4464,sedan,111,1.6,Petrol,yes,2010,2170,front
Mercedes-Benz,18900,other,111,2.5,Petrol,yes,2009,C-Class,rear
Chevrolet,4900,sedan,111,1.5,Gas,yes,2006,Aveo,front
VAZ,850,crossover,111,1.6,Petrol,yes,1981,2121,full
Ford,1190,hatch,111,1.4,Petrol,yes,1988,Escort,front
Mercedes-Benz,2600,hatch,111,1.4,Petrol,no,1999,A 140,
Mitsubishi,7999,sedan,112,2,Petrol,yes,2008,Lancer X,front
Daewoo,3500,sedan,112,1.8,Petrol,yes,2007,Lanos,front
Mercedes-Benz,24999,sedan,112,2.2,Diesel,yes,2012,C-Class,
Volkswagen,19900,other,112,2,Petrol,yes,2012,Passat CC,front
Skoda,15500,vagon,112,1.8,Petrol,yes,2011,Superb,front
Land Rover,45500,crossover,112,3,Diesel,yes,2012,Range Rover Sport,full
Lexus,21300,crossover,112,3.5,Gas,yes,2008,RX 350,full
Toyota,25250,crossover,112,4.5,Gas,yes,2007,Land Cruiser 100,full
SsangYong,10900,crossover,112,2.7,Other,yes,2006,Rexton II,full
Honda,12500,other,112,2.4,Petrol,yes,2008,Accord,front
ZAZ,1450,hatch,112,1.2,Petrol,yes,2003,1103 �������,front
Volkswagen,11900,other,112,2,Diesel,yes,2011,T6 (Transporter) ����,front
VAZ,3000,hatch,112,1.6,Petrol,yes,2007,2113,front
Audi,52999,crossover,112,4.2,Diesel,yes,2008,Q7,full
Volkswagen,19500,crossover,112,2.5,Diesel,yes,2008,Touareg,full
Fiat,8800,sedan,112,1.3,Diesel,yes,2014,Linea,front
Kia,10200,sedan,112,2,Gas,yes,2008,Magentis,front
Mazda,12899,crossover,112,1.8,Gas,yes,2008,CX-7,front
Nissan,38800,crossover,112,5.6,Petrol,yes,2012,Patrol,full
Peugeot,6300,other,112,1.6,Diesel,yes,2007,Partner ����.,front
Audi,25000,crossover,112,3.2,Petrol,yes,2010,Q5,full
VAZ,3000,hatch,112,1.8,Petrol,yes,2003,21093,front
Audi,23400,sedan,112,2,Diesel,yes,2012,A4,front
Smart,8300,other,112,0.7,Petrol,yes,2003,Roadster,rear
Peugeot,7500,hatch,112,1.4,Gas,yes,2010,207,front
Mitsubishi,7300,sedan,112,1.6,Petrol,yes,2008,Lancer,front
Land Rover,39900,crossover,112,5,Petrol,yes,2010,Range Rover,full
Subaru,8700,hatch,112,1.5,Petrol,yes,2008,Impreza,full
Mazda,11600,crossover,112,2.3,Petrol,yes,2008,CX-7,full
Infiniti,36500,crossover,112,3,Diesel,yes,2012,FX 30,rear
Audi,600,sedan,112,1.6,Petrol,yes,1980,80,front
Hyundai,10500,crossover,112,2,Petrol,yes,2008,Tucson,full
Mitsubishi,18000,crossover,112,3,Gas,yes,2008,Pajero Wagon,full
BMW,24100,vagon,112,3,Petrol,yes,2011,X1,full
Fiat,5999,hatch,112,1.4,Petrol,yes,2006,Punto,front
Volkswagen,35500,crossover,112,1.8,Diesel,yes,2011,Touareg,
Daewoo,4300,sedan,112,1.5,Gas,yes,2008,Lanos,front
Kia,13000,other,112,1.6,Diesel,yes,2010,Soul,front
Chevrolet,7999,hatch,112,1.8,Gas,yes,2010,Lacetti,front
Hyundai,7400,hatch,112,1.4,Other,yes,2008,i30,front
Porsche,36999,crossover,112,3,Diesel,yes,2010,Cayenne,full
Hyundai,6200,sedan,112,1.4,Petrol,yes,2007,Accent,front
Subaru,10200,sedan,112,2.5,Petrol,yes,2007,Legacy,full
Renault,5600,vagon,112,1.5,Diesel,yes,2006,Kangoo ����.,front
Fiat,7000,vagon,112,1.4,Other,yes,2007,Doblo Panorama,front
Kia,8400,other,112,1.4,Petrol,yes,2008,Pro Ceed,front
Mitsubishi,8100,sedan,112,2.4,Petrol,yes,2007,Galant,front
Kia,7999,hatch,112,1.6,Other,yes,2008,Ceed,front
Chevrolet,6200,vagon,112,2,Gas,yes,2005,Tacuma,front
Daewoo,3950,other,113,1.5,Other,yes,2006,Lanos,front
Ford,19800,crossover,113,2,Diesel,yes,2014,Kuga,full
Toyota,14100,sedan,113,2.4,Gas,yes,2009,Camry,front
Audi,19300,sedan,113,1.8,Petrol,yes,2009,A4,front
Nissan,11999,crossover,113,3.5,Gas,yes,2005,Murano,full
Honda,16500,crossover,113,2.4,Petrol,yes,2008,CR-V,full
Mitsubishi,6999,sedan,113,1.5,Petrol,yes,2007,Lancer X,front
Mercedes-Benz,17500,vagon,113,2.2,Diesel,yes,2010,C-Class,rear
Chevrolet,5999,other,113,1.8,Petrol,yes,2008,Aveo,front
Honda,9000,sedan,113,1.8,Gas,yes,2008,Civic,front
Hyundai,10700,crossover,113,2,Gas,yes,2008,Tucson,full
Renault,4800,van,113,15,Diesel,yes,2006,Kangoo ����.,front
Smart,5100,other,113,0.7,Petrol,yes,2005,Fortwo,rear
ZAZ,2100,hatch,113,1.2,Petrol,yes,2006,������-����,front
Ford,7002.45,hatch,113,1.4,Petrol,yes,2011,Fusion,front
Volkswagen,6900,hatch,113,1.4,Petrol,yes,2003,Polo,front
Hyundai,7000,sedan,113,1.5,Diesel,yes,2008,Accent,front
Kia,9500,sedan,113,1.6,Petrol,yes,2010,Koup,front
VAZ,1350,sedan,113,1.3,Petrol,yes,1986,2106,rear
Hyundai,6400,sedan,113,1.4,Petrol,yes,2007,Accent,front
Infiniti,29900,crossover,113,3.5,Gas,yes,2008,FX 35,full
Fiat,4800,hatch,113,1.2,Petrol,yes,2007,Punto,front
Chevrolet,6999,hatch,113,1.8,Other,yes,2007,Lacetti,front
Mitsubishi,8100,sedan,113,2,Petrol,yes,2007,Lancer X,front
Renault,10600,vagon,113,1.5,Diesel,yes,2011,Megane,front
Ford,7200,hatch,114,1.4,Gas,yes,2009,Focus,front
Honda,20850,crossover,114,3.5,Gas,yes,2009,Pilot,full
BMW,20500,other,114,1.8,Other,yes,2008,325,
Skoda,7550,sedan,114,1.6,Petrol,yes,2007,Octavia A5,front
Kia,11400,crossover,114,2.5,Diesel,yes,2008,Sorento,full
Kia,17800,sedan,114,1.7,Diesel,yes,2013,Sportage,front
VAZ,3600,hatch,114,1.6,Gas,yes,2010,2113,front
Renault,9700,vagon,114,1.5,Diesel,yes,2012,Kangoo ����.,front
MINI,11500,hatch,114,1.6,Petrol,yes,2007,Cooper,front
Opel,6300,other,114,1.7,Diesel,no,2012,Astra J,front
Audi,21900,other,114,3.2,Petrol,yes,2009,A5,full
VAZ,2850,sedan,114,1.6,Petrol,yes,2008,21099,front
Mercedes-Benz,21300,crossover,114,4.7,Petrol,yes,2007,GL 450,full
Mitsubishi,9600,other,114,2,Petrol,yes,1999,Eclipse,front
Chevrolet,5000,sedan,114,1.5,Gas,yes,2008,Aveo,front
BMW,18500,sedan,114,2,Gas,yes,2008,520,rear
Infiniti,18300,crossover,114,3.5,Gas,yes,2008,FX 35,full
Citroen,6600,hatch,114,1.6,Petrol,yes,2006,C4,front
Renault,4999,sedan,114,1.4,Other,yes,2006,Clio,front
Hyundai,10700,hatch,114,1.6,Diesel,yes,2011,i30,front
Suzuki,9700,hatch,114,1.6,Petrol,yes,2009,SX4,front
VAZ,2999,sedan,114,1.5,Gas,yes,2005,21099,front
Hyundai,6200,sedan,114,1.4,Petrol,yes,2008,Accent,front
BMW,24500,sedan,114,1.8,Petrol,yes,2005,M5,rear
Subaru,0,crossover,114,3,Petrol,yes,2009,Outback,full
VAZ,1300,sedan,114,1.3,Petrol,yes,1991,2106,rear
Audi,3100,hatch,114,1.6,Petrol,no,2001,A3,front
Volkswagen,20000,crossover,115,2.5,Diesel,yes,2008,Touareg,full
BMW,37200,other,115,3,Diesel,yes,2011,X5,full
Lexus,16500,sedan,115,3,Petrol,yes,2007,GS 300,rear
Toyota,8900,sedan,115,1.6,Petrol,yes,2008,Corolla,front
Nissan,12300,sedan,115,2.5,Petrol,yes,2009,Teana,front
Mercedes-Benz,46700,sedan,115,5.5,Petrol,yes,2011,S 500,full
Toyota,37500,crossover,115,5.7,Petrol,yes,2008,Land Cruiser 200,full
Subaru,12000,vagon,115,2.5,Petrol,yes,2008,Forester,full
Skoda,8700,hatch,115,1.6,Petrol,yes,2010,Fabia,front
Audi,36500,crossover,115,3,Diesel,yes,2010,Q7,full
BMW,31800,sedan,115,3,Diesel,yes,2010,5 Series GT,rear
Porsche,44500,crossover,115,4.8,Petrol,yes,2010,Cayenne,full
Mitsubishi,14999,crossover,115,3,Petrol,yes,2008,Outlander XL,full
Toyota,25000,crossover,115,5.7,Petrol,yes,2007,Tundra,full
Volkswagen,17900,vagon,115,1.8,Petrol,yes,2012,Passat B7,front
Hyundai,5350,hatch,115,1.4,Petrol,yes,2007,Getz,front
Daewoo,4777,sedan,115,1.5,Gas,yes,2005,Lanos,front
Geely,6500,sedan,115,1.8,Gas,yes,2012,Emgrand 7 (EC7),front
Nissan,7500,hatch,115,1.6,Petrol,yes,2008,Note,front
Toyota,8000,hatch,115,1.6,Petrol,yes,2007,Corolla,front
Toyota,9200,sedan,115,1.6,Gas,yes,2008,Corolla,front
Mitsubishi,17555,crossover,115,3,Gas,yes,2008,Pajero Wagon,full
Volkswagen,23300,sedan,115,1.8,Petrol,yes,2012,Passat CC,
Opel,11000,sedan,115,2.2,Petrol,yes,2007,Vectra C,front
Hyundai,7000,sedan,115,1.5,Diesel,yes,2009,Accent,front
Mercedes-Benz,13600,sedan,115,1.8,Petrol,yes,2007,C-Class,rear
Mitsubishi,9200,sedan,115,2,Petrol,yes,2008,Lancer X,front
VAZ,1700,hatch,115,1.3,Petrol,yes,1990,2108,front
BMW,37500,crossover,115,3,Diesel,yes,2008,X5 M,full
Chery,2499,sedan,115,1,Petrol,yes,2008,Jaggi,front
Mercedes-Benz,15000,other,115,2.2,Diesel,yes,2011,Vito ����.,rear
Hyundai,23800,crossover,115,2.2,Diesel,yes,2011,Santa FE,full
Subaru,15590,crossover,115,3.6,Petrol,yes,2008,Tribeca,full
VAZ,2900,crossover,115,1.7,Petrol,yes,1995,2121,full
Nissan,4088,sedan,115,3,Other,yes,1993,Maxima,front
Toyota,26900,crossover,115,4,Gas,yes,2008,Land Cruiser Prado,full
VAZ,6700,crossover,115,1.8,Gas,yes,2010,2121,full
Chevrolet,8200,vagon,115,1.8,Petrol,yes,2007,Lacetti,front
Mazda,9999,sedan,115,1.8,Other,yes,2010,6,
Skoda,11500,sedan,115,1.8,Petrol,yes,2011,Octavia A5,front
Audi,23000,other,115,1.8,Petrol,yes,2008,S4,
Opel,7000,vagon,115,1.7,Diesel,yes,2009,Astra G,front
Land Rover,46900,crossover,115,3,Diesel,yes,2012,Range Rover Sport,full
Subaru,17000,sedan,115,2,Other,yes,2004,Impreza WRX STI,full
Hyundai,10900,sedan,115,2,Other,yes,2008,Sonata,front
BMW,34000,sedan,115,5,Petrol,yes,2008,750,full
Smart,3600,hatch,115,0.6,Petrol,yes,1998,Fortwo,rear
BMW,39500,crossover,115,4.4,Petrol,yes,2010,X5,full
Nissan,15500,sedan,115,2.5,Gas,yes,2011,Teana,front
Smart,5500,other,115,0.6,Petrol,yes,2001,Fortwo,
VAZ,4350,hatch,115,1.6,Gas,yes,2011,2114,front
Ford,10200,vagon,115,1.6,Petrol,yes,2012,Focus,front
Nissan,17900,crossover,115,2.5,Diesel,yes,2009,Pathfinder,full
Kia,6800,sedan,115,1.4,Gas,yes,2008,Rio,front
Kia,6900,sedan,115,1.6,Gas,yes,2008,Cerato,front
Infiniti,18900,crossover,115,3.5,Gas,yes,2008,FX 35,full
Volkswagen,14100,vagon,115,2,Diesel,yes,2011,Caddy ����.,front
Chevrolet,5600,sedan,115,1.6,Other,yes,2008,Aveo,front
Toyota,14474,crossover,115,2,Petrol,yes,2007,Rav 4,full
Subaru,12900,vagon,116,2,Petrol,yes,2008,Forester,full
Nissan,18888,crossover,116,5.6,Gas,yes,2007,Armada,full
Mitsubishi,13499,crossover,116,2.4,Petrol,yes,2008,Outlander XL,full
Mitsubishi,8500,sedan,116,1.5,Petrol,yes,2008,Lancer X,front
Honda,18000,sedan,116,2,Gas,yes,2011,Accord,front
BMW,14600,sedan,116,2.5,Diesel,yes,2004,525,rear
Audi,23500,crossover,116,4.2,Petrol,yes,2008,Q7,full
Honda,13000,sedan,116,1.8,Petrol,yes,2007,Accord,front
Mercedes-Benz,16800,van,116,2.2,Diesel,yes,2013,Vito ����.,full
Mercedes-Benz,16800,van,116,1.8,Other,yes,2013,Vito ����.,
Honda,0,other,116,2.4,Petrol,yes,2008,Accord,front
Mercedes-Benz,12800,other,116,2.2,Diesel,yes,2013,Vito ����.,
Mercedes-Benz,12800,van,116,2.2,Diesel,yes,2012,Vito ����.,
Mitsubishi,6300,sedan,116,1.5,Petrol,yes,2008,Lancer X,front
Toyota,15300,other,116,2.4,Petrol,yes,2009,Camry,front
Chevrolet,6500,vagon,116,1.8,Gas,yes,2010,Lacetti,front
VAZ,3297.45,sedan,116,1.6,Petrol,yes,2008,21099,front
Chevrolet,6850,vagon,116,1.8,Gas,yes,2006,Lacetti,front
Hyundai,11000,sedan,116,3.3,Gas,yes,2007,Grandeur,front
Opel,7300,hatch,116,1.4,Gas,yes,2007,Astra H,front
BMW,28000,crossover,116,1.8,Petrol,yes,2008,X5,full
Hyundai,11300,crossover,116,2,Diesel,yes,2009,Tucson,full
Moskvich-Izh,1519.05,other,116,1.6,Petrol,yes,2004,2717,rear
Great Wall,8500,crossover,116,2.4,Petrol,yes,2006,Hover,full
Honda,9300,sedan,116,2,Petrol,yes,2006,Accord,front
Volkswagen,16200,sedan,116,2,Diesel,yes,2011,Passat B7,front
Ford,9500,hatch,116,1.4,Petrol,yes,2011,Fiesta,front
Lexus,19500,sedan,116,3.5,Other,yes,2007,GS 350,full
Skoda,12555,sedan,116,1.8,Petrol,yes,2009,Superb,
Daewoo,4600,sedan,116,1.5,Gas,yes,2010,Lanos,front
Geely,3800,sedan,116,1.6,Petrol,yes,2008,MK,front
Nissan,7200,sedan,116,1.6,Gas,yes,2010,Almera,front
Ford,8900,sedan,117,2,Petrol,yes,2008,Mondeo,front
BMW,34900,crossover,117,3,Petrol,yes,2011,X5,full
Kia,19300,crossover,117,1.8,Gas,yes,2012,Sorento,full
Porsche,22900,crossover,117,4.8,Petrol,yes,2007,Cayenne,full
Volkswagen,9800,other,117,1.6,Diesel,yes,2014,Caddy ����.,front
Chevrolet,5200,sedan,117,1.5,Petrol,yes,2006,Aveo,front
Mercedes-Benz,38700,sedan,117,5.5,Petrol,yes,2010,S 550,full
Skoda,11950,hatch,117,1.6,Gas,yes,2012,Octavia A5,front
Honda,8600,sedan,117,1.8,Petrol,yes,2008,Civic,front
Daewoo,4200,sedan,117,1.5,Petrol,yes,2007,Lanos,front
BMW,31111,sedan,117,4.4,Petrol,yes,2010,750,full
Renault,5600,vagon,117,1.5,Diesel,yes,2008,Kangoo ����.,front
Renault,0,vagon,117,1.5,Diesel,yes,2007,Grand Scenic,front
Fiat,7200,other,117,1.3,Diesel,yes,2011,Doblo ����.,front
Kia,10700,other,117,1.6,Petrol,yes,2010,Cerato,front
Chevrolet,7000,vagon,117,1.7,Petrol,yes,2007,Niva,full
Chevrolet,6100,sedan,117,1.8,Gas,yes,2008,Aveo,front
Citroen,6700,hatch,117,1.6,Petrol,yes,2006,C4,front
VAZ,1250,hatch,117,1.5,Gas,yes,2005,2109,front
Peugeot,11900,hatch,117,1.6,Diesel,yes,2011,308,front
Audi,19999,crossover,117,4.2,Petrol,yes,2007,Q7,full
VAZ,4100,crossover,117,1.7,Petrol,yes,2008,2121,full
UAZ,6900,crossover,117,2.7,Petrol,yes,2008,�������,full
Toyota,29900,crossover,117,3,Diesel,yes,2008,Land Cruiser Prado,full
Volkswagen,7300,hatch,117,1.4,Petrol,yes,2007,Polo,front
Kia,12000,crossover,117,2.5,Diesel,yes,2008,Sorento,full
Ford,4300,sedan,117,1.8,Petrol,yes,2000,Focus,front
Hyundai,7700,sedan,117,1.6,Petrol,yes,2007,Elantra,front
Volkswagen,18000,crossover,117,2.5,Diesel,yes,2006,Touareg,full
VAZ,3000,sedan,117,1.6,Petrol,yes,2007,21099,
Opel,6850,van,117,1.3,Diesel,yes,2012,Combo ����.,front
Skoda,8800,sedan,117,1.6,Petrol,yes,2007,Octavia A5,front
Chevrolet,4999,sedan,117,1.6,Petrol,yes,2008,Aveo,front
Suzuki,6400,hatch,117,1.3,Petrol,yes,2006,Swift,front
Nissan,7150,van,117,1.5,Diesel,yes,2011,NV,front
Peugeot,7500,van,117,1.4,Diesel,yes,2009,Bipper ����.,front
BMW,23700,crossover,117,2,Diesel,yes,2010,X1,rear
Kia,8500,sedan,117,2,Diesel,yes,2007,Magentis,front
Infiniti,15300,crossover,117,3.5,Petrol,yes,2005,FX 35,full
Audi,34000,crossover,118,2,Diesel,yes,2013,Q5,full
Lexus,54500,crossover,118,5.7,Petrol,yes,2010,LX 570,full
Chevrolet,10200,sedan,118,1.8,Petrol,yes,2011,Cruze,front
Volkswagen,12500,sedan,118,1.6,Diesel,yes,2011,Golf VI,front
Mitsubishi,6000,hatch,118,1.3,Petrol,yes,2006,Colt,front
Subaru,19900,vagon,118,2.5,Petrol,yes,2013,Outback,full
Subaru,8700,hatch,118,1.5,Petrol,yes,2008,Impreza,full
Volkswagen,9999,hatch,118,1.2,Diesel,yes,2011,Polo,front
Mitsubishi,6900,sedan,118,1.6,Petrol,yes,2007,Lancer,front
Mercedes-Benz,24800,vagon,118,3,Diesel,yes,2010,E-Class,full
Volkswagen,2200,hatch,118,1.4,Petrol,no,2001,Lupo,front
Volkswagen,0,sedan,118,1.6,Gas,yes,2008,Jetta,front
Kia,7500,sedan,118,2,Gas,yes,2008,Cerato,
Skoda,7450,vagon,118,1.4,Petrol,yes,2008,Fabia,front
Hyundai,12200,crossover,118,2,Gas,yes,2011,Tucson,front
Fiat,7000,van,118,1.6,Gas,yes,2007,Doblo ����.,front
Subaru,13350,crossover,118,2.5,Gas,yes,2009,Forester,full
Lexus,16700,sedan,118,3.5,Other,yes,2007,ES 350,front
Chevrolet,6900,sedan,118,1.8,Petrol,yes,2008,Lacetti,front
Renault,7150,van,118,1.5,Diesel,yes,2008,Kangoo ����.,front
Volkswagen,11500,sedan,118,2,Petrol,yes,2007,Passat B6,front
Volkswagen,10600,sedan,118,1.8,Petrol,yes,2008,Passat B6,front
Nissan,7800,sedan,118,1.6,Petrol,yes,2008,TIIDA,
